date,broker,buy_volume,sell_volume,buy_vwap,sell_vwap,start_balance,end_balance,efficiency_score,short_interest,profile
2024-11-13,Desjardins Securities,24214,36665,0.219,0.2105,3641856,3673560,0.92,12086,HNW
2024-11-13,Laurentian Bank,25496,48162,0.1504,0.1819,2349654,2260512,0.84,7587,Retail
2024-11-13,HSBC Securities,28466,32266,0.2364,0.1523,5168546,5079885,0.86,8407,Retail + Institutional
2024-11-13,GMP Securities,29032,10082,0.1767,0.1993,2345448,2335662,0.82,16478,Institutional
2024-11-13,Credential Securities,12220,16006,0.1853,0.1686,4879006,4897097,0.89,8946,HNW
2024-11-13,PI Financial,17137,35665,0.1533,0.2126,3113802,3200583,0.91,6450,Retail
2024-11-13,Industrial Alliance,19786,23026,0.1885,0.1506,9138396,9132930,0.71,14670,Retail
2024-11-13,Edward Jones,21830,9974,0.1995,0.2347,9061124,9071512,0.98,12190,Retail + Institutional
2024-11-13,UBS Securities,7599,24988,0.1934,0.1844,7270749,7352451,0.98,12788,Retail
2024-11-13,Goldman Sachs Canada,24948,23557,0.2127,0.163,5831719,5777257,0.93,13945,Institutional
2024-11-13,JP Morgan Canada,23156,28016,0.217,0.2373,5626379,5544627,0.95,9630,HNW
2024-11-13,Morgan Stanley Canada,35278,36361,0.1679,0.1781,6786847,6882868,0.81,3757,Institutional
2024-11-13,Merrill Lynch Canada,23247,43444,0.1609,0.2272,4063458,4078496,0.7,13408,HNW
2024-11-13,Interactive Brokers Canada,40185,40297,0.1809,0.1627,2632130,2685907,0.97,2353,Retail
2024-11-14,RBC Capital Markets,44502,49051,0.1533,0.2447,5791207,5717221,0.72,1946,Institutional
2024-11-14,CIBC World Markets,39420,8764,0.154,0.172,3781978,3732843,0.81,8468,HNW
2024-11-14,TD Securities,49104,32378,0.2126,0.1863,1892219,1825809,0.96,13077,Retail + Institutional
2024-11-14,BMO Nesbitt Burns,21083,12852,0.1818,0.1538,9241646,9332130,0.8,15965,Institutional
2024-11-14,Scotia Capital,23894,26247,0.2318,0.1619,9322379,9364673,0.79,1589,Retail + Institutional
2024-11-14,National Bank Financial,12132,49544,0.1836,0.1507,5418750,5447534,0.99,2525,Retail
2024-11-14,Canaccord Genuity,44225,9931,0.2252,0.2071,5965100,5880726,0.79,14063,Retail
2024-11-14,Raymond James,28556,37941,0.1905,0.1731,5693456,5752750,0.87,5817,Institutional
2024-11-14,Desjardins Securities,13439,4378,0.1742,0.1909,3862131,3890666,0.85,1261,HNW
2024-11-14,Laurentian Bank,42367,5912,0.1669,0.2387,5918552,5925309,0.94,5848,Retail
2024-11-14,HSBC Securities,48093,4089,0.1724,0.2069,4257246,4166115,0.89,10165,Retail + Institutional
2024-11-14,GMP Securities,46591,10749,0.1645,0.1901,2426116,2475144,0.82,3789,Institutional
2024-11-14,Credential Securities,15845,28683,0.1501,0.2301,4284272,4306234,0.86,6585,Institutional
2024-11-14,PI Financial,33292,35587,0.2106,0.2026,3561932,3548134,0.86,15365,Retail
2024-11-14,Industrial Alliance,49870,23750,0.2406,0.2201,7078248,7051583,0.77,7511,HNW
2024-11-14,Edward Jones,10631,25962,0.1521,0.1837,6755556,6743580,0.75,15854,Retail
2024-11-14,UBS Securities,48247,36784,0.18,0.242,3047080,3056700,0.9,14056,HNW
2024-11-14,Goldman Sachs Canada,25235,5760,0.2495,0.2026,6547229,6641258,0.75,5189,Retail
2024-11-14,JP Morgan Canada,27361,44448,0.2108,0.2163,4698205,4645504,0.78,11183,Institutional
2024-11-14,Morgan Stanley Canada,2215,13461,0.2322,0.1638,1092320,1088708,0.92,1396,Retail + Institutional
2024-11-14,Merrill Lynch Canada,5338,32341,0.2427,0.2264,7446302,7379715,0.78,1878,Retail + Institutional
2024-11-14,Interactive Brokers Canada,6590,25866,0.1757,0.1816,8537464,8472852,0.99,15998,HNW
2024-11-15,RBC Capital Markets,17425,27262,0.1533,0.2105,2538036,2562237,0.97,18014,Institutional
2024-11-15,CIBC World Markets,39696,31313,0.2198,0.2174,7595657,7605358,0.79,16552,Institutional
2024-11-15,TD Securities,19293,32348,0.1689,0.2464,6473678,6447699,0.85,16838,Retail
2024-11-15,BMO Nesbitt Burns,33193,33809,0.1529,0.195,3271727,3333125,0.81,2555,Retail + Institutional
2024-11-15,Scotia Capital,6077,12591,0.1974,0.1777,2582927,2487801,0.8,3179,Institutional
2024-11-15,National Bank Financial,37285,32245,0.2404,0.2288,2086000,2081320,0.73,9507,HNW
2024-11-15,Canaccord Genuity,9294,34872,0.2023,0.1885,2105141,2120300,0.87,4367,Retail
2024-11-15,Raymond James,16042,13927,0.2193,0.1683,4626337,4625663,0.72,13955,Retail + Institutional
2024-11-15,Desjardins Securities,3674,2613,0.2151,0.1927,9845723,9784740,0.99,4421,Retail + Institutional
2024-11-15,Laurentian Bank,31711,23865,0.1647,0.1757,5737905,5816197,0.86,19745,Retail
2024-11-15,HSBC Securities,35262,27652,0.2253,0.1893,9881012,9933855,0.76,14213,HNW
2024-11-15,GMP Securities,7757,40259,0.2245,0.1528,2280280,2199961,0.77,13521,HNW
2024-11-15,Credential Securities,14019,37621,0.2128,0.1534,8010222,8033432,0.92,14291,Retail + Institutional
2024-11-15,PI Financial,42113,12958,0.2263,0.2139,1545664,1476898,0.82,15718,Institutional
2024-11-15,Industrial Alliance,46540,26335,0.1659,0.1611,6110336,6126685,0.94,10999,Retail + Institutional
2024-11-15,Edward Jones,22026,20150,0.1623,0.2106,8053978,7958754,0.82,10685,Retail
2024-11-15,UBS Securities,15025,29822,0.2323,0.2066,4292523,4330442,0.7,13391,HNW
2024-11-15,Goldman Sachs Canada,3811,23392,0.2202,0.1591,2770618,2743931,0.85,7919,HNW
2024-11-15,JP Morgan Canada,2088,35489,0.1824,0.2317,4342421,4343936,0.72,1177,Retail + Institutional
2024-11-15,Morgan Stanley Canada,26895,32840,0.2005,0.1586,1850136,1812198,0.89,4810,Retail + Institutional
2024-11-15,Merrill Lynch Canada,8884,4655,0.1561,0.1999,9199165,9281455,0.95,3417,Retail + Institutional
2024-11-15,Interactive Brokers Canada,43414,3697,0.1709,0.1831,6550630,6640195,0.88,19080,Institutional
2024-11-18,RBC Capital Markets,38354,21381,0.2133,0.165,5213312,5274243,0.74,3183,Institutional
2024-11-18,CIBC World Markets,17964,16072,0.2049,0.2086,4471549,4402517,0.99,1795,Retail
2024-11-18,TD Securities,16466,6600,0.2451,0.2256,7528787,7541366,0.7,5340,Institutional
2024-11-18,BMO Nesbitt Burns,45130,36718,0.2135,0.1545,9706351,9677698,0.76,1159,Retail + Institutional
2024-11-18,Scotia Capital,10102,3686,0.1736,0.1913,1330015,1276238,0.76,15495,Retail
2024-11-18,National Bank Financial,31645,18784,0.233,0.246,9734269,9813468,0.95,2178,HNW
2024-11-18,Canaccord Genuity,20458,36612,0.2371,0.2029,1512528,1562585,0.94,18600,Retail + Institutional
2024-11-18,Raymond James,29659,23707,0.2449,0.1949,6951587,6994161,0.86,7890,Institutional
2024-11-18,Desjardins Securities,36776,41610,0.1537,0.2313,2859807,2790593,0.78,7255,Retail + Institutional
2024-11-18,Laurentian Bank,27745,37218,0.2102,0.1833,2531401,2610234,0.91,19754,Institutional
2024-11-18,HSBC Securities,1152,33439,0.2174,0.1739,1377303,1475438,0.96,14843,Retail + Institutional
2024-11-18,GMP Securities,40737,20710,0.1891,0.2185,7718784,7660315,0.95,18506,Retail
2024-11-18,Credential Securities,16606,25799,0.1709,0.1771,1167420,1237419,0.85,15980,Retail + Institutional
2024-11-18,PI Financial,49954,42063,0.165,0.1907,4592246,4503007,1.0,14869,Retail + Institutional
2024-11-18,Industrial Alliance,14286,9574,0.2049,0.2263,1860317,1848158,0.86,9567,Retail + Institutional
2024-11-18,Edward Jones,37327,23236,0.2137,0.1871,1949316,1942426,0.85,3034,Retail + Institutional
2024-11-18,UBS Securities,2496,36129,0.2386,0.2203,4341450,4331906,0.81,16198,Retail
2024-11-18,Goldman Sachs Canada,16301,35422,0.1603,0.1627,1704752,1654052,0.82,4081,Retail
2024-11-18,JP Morgan Canada,37175,19068,0.1885,0.2299,8710233,8625336,0.71,15168,Institutional
2024-11-18,Morgan Stanley Canada,7852,4704,0.2066,0.1953,2624732,2621345,0.85,14437,Retail
2024-11-18,Merrill Lynch Canada,43579,23933,0.2463,0.2406,3101678,3097109,1.0,6276,Retail
2024-11-18,Interactive Brokers Canada,8004,40111,0.2174,0.1695,2999695,2935656,1.0,13421,Retail
2024-11-19,RBC Capital Markets,4849,5775,0.1534,0.233,6996738,6925420,0.81,2388,Retail + Institutional
2024-11-19,CIBC World Markets,27047,47765,0.2471,0.2015,4192045,4159821,0.71,16779,Institutional
2024-11-19,TD Securities,17180,3188,0.2233,0.2143,9743289,9655928,0.89,13213,Institutional
2024-11-19,BMO Nesbitt Burns,38573,3192,0.2402,0.2077,2475952,2549318,0.96,11207,HNW
2024-11-19,Scotia Capital,10911,31309,0.2422,0.177,6080292,5988407,0.89,4439,HNW
2024-11-19,National Bank Financial,44973,29825,0.1709,0.1794,1373709,1326052,0.89,1843,HNW
2024-11-19,Canaccord Genuity,6901,36109,0.2166,0.1784,6795832,6862062,0.92,12719,Retail
2024-11-19,Raymond James,41987,11825,0.1919,0.2292,8983564,9072776,0.81,10214,Institutional
2024-11-19,Desjardins Securities,17814,18705,0.2371,0.1598,2908632,3002766,0.86,13868,Retail
2024-11-19,Laurentian Bank,31595,8562,0.1898,0.2402,6415978,6400827,0.82,2784,Institutional
2024-11-19,HSBC Securities,42134,47574,0.2379,0.1847,7833962,7917195,0.71,19628,HNW
2024-11-19,GMP Securities,22334,21193,0.1988,0.171,9821064,9804210,0.9,5865,HNW
2024-11-19,Credential Securities,11391,10370,0.1776,0.2286,8498668,8539936,0.77,14979,HNW
2024-11-19,PI Financial,47301,31885,0.1687,0.1541,9390920,9368554,0.96,17836,Institutional
2024-11-19,Industrial Alliance,13732,26632,0.2005,0.2093,4755723,4685572,0.82,3617,Retail
2024-11-19,Edward Jones,41555,32410,0.2135,0.1892,9656375,9617992,0.84,10086,Institutional
2024-11-19,UBS Securities,18604,45212,0.1574,0.183,2391351,2387660,0.73,12669,Retail + Institutional
2024-11-19,Goldman Sachs Canada,8896,22144,0.1523,0.1827,7718365,7786665,0.98,13156,Institutional
2024-11-19,JP Morgan Canada,30532,11014,0.2174,0.2312,2892951,2958230,0.87,6388,Retail + Institutional
2024-11-19,Morgan Stanley Canada,32453,39637,0.1848,0.2176,9842654,9838696,0.9,18899,Retail + Institutional
2024-11-19,Merrill Lynch Canada,29115,10712,0.244,0.1976,5614647,5603129,0.81,14257,HNW
2024-11-19,Interactive Brokers Canada,16065,34954,0.2033,0.2363,3447363,3370229,0.87,3914,Retail + Institutional
2024-11-20,RBC Capital Markets,7701,14160,0.158,0.2486,9690804,9641366,0.74,16117,Retail + Institutional
2024-11-20,CIBC World Markets,28086,7700,0.1718,0.2012,8999711,9069542,0.85,12670,HNW
2024-11-20,TD Securities,26700,29504,0.2086,0.191,2999566,2986747,0.71,7927,Institutional
2024-11-20,BMO Nesbitt Burns,31321,46698,0.1516,0.1566,6937763,6984375,0.81,2869,HNW
2024-11-20,Scotia Capital,13085,27698,0.1791,0.1544,6183939,6146745,0.81,10339,Retail + Institutional
2024-11-20,National Bank Financial,20634,7471,0.1527,0.2214,9868127,9863841,0.82,13921,Retail + Institutional
2024-11-20,Canaccord Genuity,27751,41427,0.1528,0.1635,7450808,7396328,0.97,18122,Institutional
2024-11-20,Raymond James,46892,43499,0.1657,0.2099,9101081,9082305,0.7,17040,Institutional
2024-11-20,Desjardins Securities,18200,21966,0.2034,0.1623,6387930,6346723,0.82,19381,Institutional
2024-11-20,Laurentian Bank,2291,34072,0.1745,0.2393,3719286,3769698,0.99,14377,Retail
2024-11-20,HSBC Securities,36501,39763,0.2087,0.2036,3602124,3632783,0.96,18669,Institutional
2024-11-20,GMP Securities,39665,40678,0.2432,0.1898,1735180,1760588,0.97,7220,HNW
2024-11-20,Credential Securities,5466,49548,0.2062,0.1916,5772413,5836508,0.73,15461,Retail + Institutional
2024-11-20,PI Financial,12062,19552,0.1689,0.1723,9935886,9923212,1.0,1596,HNW
2024-11-20,Industrial Alliance,36269,23922,0.2291,0.1766,3492896,3467123,0.96,16114,HNW
2024-11-20,Edward Jones,21185,12216,0.2189,0.2211,3121680,3091705,0.96,14754,HNW
2024-11-20,UBS Securities,25986,29687,0.2182,0.22,9977271,9978621,0.83,11483,HNW
2024-11-20,Goldman Sachs Canada,40905,18064,0.1974,0.2369,1932892,1938568,0.97,11906,Institutional
2024-11-20,JP Morgan Canada,39299,47599,0.2252,0.2419,8965823,8993142,0.83,13275,Institutional
2024-11-20,Morgan Stanley Canada,30064,10529,0.2231,0.1734,4880420,4971501,0.95,4522,Retail + Institutional
2024-11-20,Merrill Lynch Canada,48220,49968,0.2136,0.2457,7932284,7843257,0.9,4851,HNW
2024-11-20,Interactive Brokers Canada,7284,48833,0.2266,0.2089,8005208,8058463,0.84,8919,Institutional
2024-11-21,RBC Capital Markets,2344,28710,0.2418,0.2309,2956493,2949248,0.72,17600,Institutional
2024-11-21,CIBC World Markets,17758,26572,0.1972,0.2222,5644493,5722404,1.0,19707,Retail + Institutional
2024-11-21,TD Securities,22564,45796,0.1597,0.2332,5573380,5548370,0.7,4978,Retail
2024-11-21,BMO Nesbitt Burns,31609,29359,0.1675,0.1994,4555204,4576106,0.73,11728,Retail
2024-11-21,Scotia Capital,10240,1696,0.1799,0.1529,5504440,5462169,0.95,16898,HNW
2024-11-21,National Bank Financial,35789,11522,0.249,0.1699,9576353,9538219,1.0,7736,Institutional
2024-11-21,Canaccord Genuity,14849,40933,0.2136,0.2033,5851520,5870117,0.86,8902,HNW
2024-11-21,Raymond James,49827,12031,0.2274,0.1777,5713824,5648569,0.86,15136,Retail
2024-11-21,Desjardins Securities,12391,13625,0.194,0.2461,9111238,9159287,0.97,15432,Retail + Institutional
2024-11-21,Laurentian Bank,12074,28961,0.2129,0.2493,1161569,1091507,0.99,12295,HNW
2024-11-21,HSBC Securities,30180,34630,0.2083,0.2185,5458361,5470094,0.76,9305,Retail + Institutional
2024-11-21,GMP Securities,13991,49900,0.1826,0.1713,8642964,8692937,0.88,7497,Retail + Institutional
2024-11-21,Credential Securities,21044,7171,0.2037,0.2128,2341581,2287942,0.9,16726,HNW
2024-11-21,PI Financial,24403,6410,0.239,0.1788,1718837,1741522,0.8,1097,Institutional
2024-11-21,Industrial Alliance,19840,18498,0.2042,0.2269,6009739,6013819,0.82,17694,Retail + Institutional
2024-11-21,Edward Jones,31098,20838,0.2219,0.2097,8021799,8023239,0.8,14104,Retail
2024-11-21,UBS Securities,12644,30435,0.1626,0.1681,4853497,4911381,0.91,17959,Retail + Institutional
2024-11-21,Goldman Sachs Canada,17384,42667,0.1505,0.2166,9510466,9449403,0.83,3570,HNW
2024-11-21,JP Morgan Canada,5101,25887,0.1592,0.1518,5995230,5981043,0.74,5408,Institutional
2024-11-21,Morgan Stanley Canada,45983,24408,0.2496,0.1769,3860330,3871164,0.79,8768,Retail + Institutional
2024-11-21,Merrill Lynch Canada,23570,12049,0.1817,0.2332,1003772,1103345,0.81,5924,HNW
2024-11-21,Interactive Brokers Canada,11527,13641,0.2298,0.2341,6966033,6887328,0.87,3014,Retail + Institutional
2024-11-22,RBC Capital Markets,9054,7018,0.1821,0.1632,7328376,7424698,0.9,15779,Retail + Institutional
2024-11-22,CIBC World Markets,25725,32859,0.1885,0.2266,5033216,4977633,0.74,9632,Institutional
2024-11-22,TD Securities,37932,33866,0.2287,0.1678,4750550,4656916,0.76,10984,HNW
2024-11-22,BMO Nesbitt Burns,15194,33884,0.1543,0.1963,7316469,7348548,0.71,19725,HNW
2024-11-22,Scotia Capital,26359,19598,0.2461,0.2382,2832539,2737573,0.86,4857,Retail
2024-11-22,National Bank Financial,23205,17060,0.1788,0.1667,5803774,5809324,0.86,1616,Retail + Institutional
2024-11-22,Canaccord Genuity,8636,34179,0.217,0.205,5350291,5376979,1.0,18763,Retail + Institutional
2024-11-22,Raymond James,21103,22770,0.2074,0.1778,9161358,9257603,0.7,14486,Institutional
2024-11-22,Desjardins Securities,44339,15257,0.1662,0.2294,4509397,4417064,0.72,4967,Retail + Institutional
2024-11-22,Laurentian Bank,20950,49310,0.2424,0.2224,8893495,8896941,0.98,15139,Retail + Institutional
2024-11-22,HSBC Securities,39867,37210,0.1811,0.2306,4641353,4712684,1.0,16605,HNW
2024-11-22,GMP Securities,14350,8615,0.1912,0.2062,1639641,1578994,0.78,19117,HNW
2024-11-22,Credential Securities,47648,31382,0.2445,0.2037,7038460,6963630,0.84,16277,HNW
2024-11-22,PI Financial,21700,37474,0.1718,0.205,2968933,2928254,0.98,1089,Retail
2024-11-22,Industrial Alliance,27378,9926,0.2002,0.1874,6176185,6110770,0.73,5819,Retail + Institutional
2024-11-22,Edward Jones,1304,25123,0.2212,0.1839,8786292,8774774,0.82,10862,HNW
2024-11-22,UBS Securities,30487,9667,0.2064,0.1955,1584334,1536100,0.91,16417,Retail
2024-11-22,Goldman Sachs Canada,25461,7027,0.2349,0.228,4033681,4113432,0.88,4498,Institutional
2024-11-22,JP Morgan Canada,16564,27675,0.2424,0.2336,7734854,7643187,0.97,4511,Retail + Institutional
2024-11-22,Morgan Stanley Canada,49889,42541,0.2324,0.2211,9257133,9339994,0.84,11253,Retail + Institutional
2024-11-22,Merrill Lynch Canada,23170,49375,0.1509,0.2238,7468755,7544315,0.92,2326,Institutional
2024-11-22,Interactive Brokers Canada,42763,34910,0.1921,0.2036,6652093,6588233,0.92,7172,Retail
2024-11-25,RBC Capital Markets,7343,21110,0.2488,0.2122,4707159,4669366,0.7,11390,Retail + Institutional
2024-11-25,CIBC World Markets,7149,48892,0.1937,0.2106,5392990,5478376,1.0,10238,Retail
2024-11-25,TD Securities,17145,9075,0.2098,0.2475,7065691,7072093,0.86,16815,Retail + Institutional
2024-11-25,BMO Nesbitt Burns,46233,29456,0.1801,0.1724,5671081,5653468,0.81,6769,Retail + Institutional
2024-11-25,Scotia Capital,48552,45192,0.1683,0.2303,5036592,5127770,0.91,10055,Retail + Institutional
2024-11-25,National Bank Financial,18795,13760,0.2108,0.1734,9201236,9252106,0.79,18033,Retail + Institutional
2024-11-25,Canaccord Genuity,48447,13998,0.2402,0.1836,8574418,8591093,0.97,7491,Retail + Institutional
2024-11-25,Raymond James,38689,24480,0.2115,0.1821,4414846,4343571,0.87,9818,Retail + Institutional
2024-11-25,Desjardins Securities,23726,42276,0.2292,0.1646,3534907,3576593,0.96,6585,Institutional
2024-11-25,Laurentian Bank,43353,42920,0.2065,0.1831,7226856,7131738,0.74,18105,HNW
2024-11-25,HSBC Securities,35831,32542,0.1968,0.2073,7728153,7647627,0.88,18754,Retail + Institutional
2024-11-25,GMP Securities,12888,22342,0.2147,0.1724,1818885,1768478,0.72,1317,Institutional
2024-11-25,Credential Securities,27173,36028,0.2209,0.2061,6957639,6896574,0.91,1668,HNW
2024-11-25,PI Financial,5245,21969,0.1997,0.1848,3328216,3285896,0.86,18773,Retail
2024-11-25,Industrial Alliance,43828,1535,0.2358,0.1999,7885942,7888632,0.82,4456,Retail + Institutional
2024-11-25,Edward Jones,39986,8319,0.2188,0.2366,6687616,6705278,0.82,9455,Retail
2024-11-25,UBS Securities,22529,16443,0.2413,0.1919,8169756,8208873,0.79,8862,HNW
2024-11-25,Goldman Sachs Canada,44414,9079,0.1732,0.1565,5699974,5702425,0.84,4709,Institutional
2024-11-25,JP Morgan Canada,23917,36028,0.2406,0.1593,3459312,3362745,0.84,2726,HNW
2024-11-25,Morgan Stanley Canada,2465,20736,0.2461,0.1767,4443215,4363638,0.95,10887,Institutional
2024-11-25,Merrill Lynch Canada,35765,23352,0.1776,0.1669,4897099,4844125,0.92,10264,Retail + Institutional
2024-11-25,Interactive Brokers Canada,36087,6423,0.2396,0.2032,3957482,3941257,0.71,15996,HNW
2024-11-26,RBC Capital Markets,7275,6774,0.2094,0.2313,5841568,5878688,0.95,15479,Retail
2024-11-26,CIBC World Markets,38168,38334,0.167,0.225,3385563,3418270,0.9,11286,HNW
2024-11-26,TD Securities,36369,35963,0.1536,0.185,2196156,2226845,0.77,10237,HNW
2024-11-26,BMO Nesbitt Burns,49614,41854,0.1545,0.163,7274610,7371647,0.87,1229,Retail + Institutional
2024-11-26,Scotia Capital,8912,37141,0.2494,0.1955,3498067,3527570,0.79,3941,Retail
2024-11-26,National Bank Financial,5711,45358,0.1738,0.2257,4978346,5041615,0.71,5796,Institutional
2024-11-26,Canaccord Genuity,25158,44551,0.1563,0.196,5640756,5578797,0.73,18036,Institutional
2024-11-26,Raymond James,19087,7072,0.154,0.1712,9485239,9390645,0.81,8903,HNW
2024-11-26,Desjardins Securities,40736,20513,0.1542,0.1855,9162201,9198868,0.8,8506,Institutional
2024-11-26,Laurentian Bank,31092,16478,0.1855,0.2197,7474662,7382983,0.89,8842,Retail
2024-11-26,HSBC Securities,44043,2891,0.1698,0.2351,3975723,3976255,0.8,10468,Retail + Institutional
2024-11-26,GMP Securities,35556,19885,0.1983,0.2267,8263197,8250890,0.74,13627,Retail
2024-11-26,Credential Securities,9560,10118,0.1588,0.1942,5334242,5265372,0.84,10837,HNW
2024-11-26,PI Financial,43295,19730,0.2311,0.2348,8075345,8116330,0.9,3236,Retail
2024-11-26,Industrial Alliance,32510,19224,0.2123,0.1688,1943738,1987281,0.95,19973,Institutional
2024-11-26,Edward Jones,25547,17995,0.1671,0.1633,9031620,9043627,0.83,16815,Retail + Institutional
2024-11-26,UBS Securities,2177,13591,0.2388,0.2443,5295511,5385160,0.71,1635,HNW
2024-11-26,Goldman Sachs Canada,35143,41716,0.241,0.217,4789950,4697044,0.91,14172,Institutional
2024-11-26,JP Morgan Canada,46959,48198,0.151,0.2096,8768994,8673570,0.82,17820,HNW
2024-11-26,Morgan Stanley Canada,22569,5132,0.1926,0.1909,3301128,3387273,0.89,7579,Retail + Institutional
2024-11-26,Merrill Lynch Canada,23184,32647,0.2167,0.1965,2261644,2320740,0.74,18590,Institutional
2024-11-26,Interactive Brokers Canada,14609,46169,0.1607,0.2366,5403282,5376739,0.8,5320,Institutional
2024-11-27,RBC Capital Markets,42741,27571,0.1576,0.2071,9989505,10075983,0.73,8129,Retail + Institutional
2024-11-27,CIBC World Markets,11732,21770,0.2266,0.2448,1080162,1047623,0.71,19368,HNW
2024-11-27,TD Securities,36145,48040,0.1648,0.1653,8503389,8577387,0.82,8470,Retail + Institutional
2024-11-27,BMO Nesbitt Burns,3988,47991,0.1671,0.1545,5491591,5576685,0.9,12237,HNW
2024-11-27,Scotia Capital,29106,40738,0.1816,0.1798,9064972,9038555,0.77,10815,Retail
2024-11-27,National Bank Financial,5809,1149,0.2351,0.1563,9939868,9947244,0.94,5817,Retail + Institutional
2024-11-27,Canaccord Genuity,49491,29201,0.1645,0.1808,4643348,4597641,0.91,4882,Retail
2024-11-27,Raymond James,18538,11888,0.1893,0.1758,4874968,4926850,0.79,8637,Institutional
2024-11-27,Desjardins Securities,12992,19363,0.2444,0.1568,4974974,4935324,0.84,7858,Retail + Institutional
2024-11-27,Laurentian Bank,42505,23379,0.2372,0.1519,8366502,8319055,0.76,2297,Retail + Institutional
2024-11-27,HSBC Securities,11173,33904,0.1607,0.2382,3293806,3264146,0.76,9436,Retail
2024-11-27,GMP Securities,24715,31662,0.2102,0.1764,9021545,9109010,0.88,11854,Retail + Institutional
2024-11-27,Credential Securities,23811,3173,0.1654,0.1606,7442946,7527594,0.99,13601,HNW
2024-11-27,PI Financial,27438,24477,0.2343,0.2233,3816070,3817183,0.92,13421,HNW
2024-11-27,Industrial Alliance,29147,25655,0.2303,0.1552,4965239,4952445,0.75,1278,HNW
2024-11-27,Edward Jones,40335,35677,0.2033,0.2459,1420250,1356253,0.79,7379,Retail
2024-11-27,UBS Securities,16348,34007,0.2395,0.1947,9593153,9497036,0.98,3330,Retail
2024-11-27,Goldman Sachs Canada,28162,6581,0.2243,0.1964,4123963,4188271,0.87,2641,HNW
2024-11-27,JP Morgan Canada,8191,6851,0.1666,0.1524,4451494,4416788,0.99,15388,Retail
2024-11-27,Morgan Stanley Canada,21943,17263,0.2323,0.1659,6263938,6167756,0.93,10160,Retail
2024-11-27,Merrill Lynch Canada,13489,34870,0.2368,0.2374,9574824,9521731,0.96,12907,Retail + Institutional
2024-11-27,Interactive Brokers Canada,38562,27611,0.1884,0.1911,5778078,5773524,0.88,14155,HNW
2024-11-28,RBC Capital Markets,10204,41186,0.178,0.2332,5246779,5296811,0.75,3430,Retail + Institutional
2024-11-28,CIBC World Markets,41995,14866,0.2373,0.1591,9820778,9771244,0.88,18989,Institutional
2024-11-28,TD Securities,47388,6683,0.1876,0.1787,1663767,1741935,0.7,10277,HNW
2024-11-28,BMO Nesbitt Burns,41359,4063,0.1923,0.1697,7235807,7137388,0.86,19747,HNW
2024-11-28,Scotia Capital,4134,45958,0.1517,0.2066,2378779,2411016,0.88,4113,Retail + Institutional
2024-11-28,National Bank Financial,41004,23306,0.2083,0.2317,2129447,2172804,0.81,4283,Institutional
2024-11-28,Canaccord Genuity,7351,1676,0.2251,0.1558,1547297,1479634,0.78,2666,Retail + Institutional
2024-11-28,Raymond James,14940,21146,0.1932,0.2429,7605672,7684624,0.99,13318,HNW
2024-11-28,Desjardins Securities,39609,13694,0.1704,0.1642,1291670,1302547,0.9,15090,Retail
2024-11-28,Laurentian Bank,39835,23686,0.1958,0.2474,6829710,6854408,0.75,17439,Retail + Institutional
2024-11-28,HSBC Securities,29394,37730,0.1918,0.2101,3116582,3115678,0.73,4775,Retail + Institutional
2024-11-28,GMP Securities,2545,37000,0.1567,0.1893,1874883,1822620,0.93,13757,Retail
2024-11-28,Credential Securities,29681,13524,0.1937,0.1697,7513391,7505655,0.77,13731,Institutional
2024-11-28,PI Financial,35336,34496,0.2168,0.1888,6001460,5980425,0.83,5323,Institutional
2024-11-28,Industrial Alliance,44841,45283,0.1988,0.2091,7300535,7387488,0.78,5532,Retail
2024-11-28,Edward Jones,41054,37696,0.2411,0.176,5733176,5799002,0.75,1706,Institutional
2024-11-28,UBS Securities,33251,37756,0.2314,0.2252,9708554,9701544,0.72,2153,Retail
2024-11-28,Goldman Sachs Canada,38142,3881,0.1974,0.244,8119995,8026773,0.71,19678,Retail + Institutional
2024-11-28,JP Morgan Canada,26966,4209,0.2062,0.2329,6351602,6344054,0.86,7905,Institutional
2024-11-28,Morgan Stanley Canada,44869,6179,0.1556,0.174,9964196,9875749,0.73,9834,Retail + Institutional
2024-11-28,Merrill Lynch Canada,17711,38325,0.213,0.1942,9301559,9372275,0.79,8623,HNW
2024-11-28,Interactive Brokers Canada,7775,32238,0.2007,0.1721,9718335,9718697,0.78,17097,HNW
2024-11-29,RBC Capital Markets,10002,18533,0.1632,0.2044,5954263,6006138,0.72,19437,HNW
2024-11-29,CIBC World Markets,23748,45479,0.2399,0.2413,6655246,6560287,0.84,5070,Retail
2024-11-29,TD Securities,14717,17040,0.1857,0.222,1942414,1925125,0.95,17267,Retail
2024-11-29,BMO Nesbitt Burns,29756,33621,0.2239,0.1738,6311995,6298221,0.78,17388,Retail + Institutional
2024-11-29,Scotia Capital,18379,25316,0.1767,0.2011,2274827,2232582,0.75,17482,Retail
2024-11-29,National Bank Financial,8417,14203,0.2416,0.1667,1410161,1449643,0.7,18023,Retail + Institutional
2024-11-29,Canaccord Genuity,33005,28440,0.1956,0.2052,1009276,944412,0.91,1564,Retail
2024-11-29,Raymond James,31481,21407,0.1816,0.2352,9883369,9812459,0.95,11855,HNW
2024-11-29,Desjardins Securities,42837,34623,0.1954,0.1517,6243547,6257666,0.75,3869,Retail
